id;nombre;descripcion;direccion;ubicacion;imagen;imagen_content_type;fecha_creacion;estado
1;Jewelery override overriding;Chips;Burg Maine Haven;Dynamic;../fake-data/blob/hipster.png;image/png;2020-05-24T19:36:17;true
2;Business-focused Automotive Tenge;Designer PCI Quality-focused;mobile;Dynamic;../fake-data/blob/hipster.png;image/png;2020-05-24T20:54:58;true
3;connecting functionalities Organic;bus one-to-one;Home Loan Account transmitting;seamless EXE;../fake-data/blob/hipster.png;image/png;2020-05-24T07:25:26;false
4;Awesome District Generic;Checking Account;Niue deposit Garden;hacking Orchestrator;../fake-data/blob/hipster.png;image/png;2020-05-24T11:10:26;false
5;Wooden;Computers withdrawal;plug-and-play;Shoes strategize;../fake-data/blob/hipster.png;image/png;2020-05-25T03:48:48;true
6;Fish Rubber;Gorgeous Ergonomic Cotton Car;Chicken Customizable customized;programming panel;../fake-data/blob/hipster.png;image/png;2020-05-24T06:06:36;true
7;Stream Moldovan Leu;extend;Credit Card Account;cross-platform;../fake-data/blob/hipster.png;image/png;2020-05-24T16:42:06;false
8;Chief;Rustic Steel Cheese;Checking Account multi-tasking support;Rubber;../fake-data/blob/hipster.png;image/png;2020-05-25T00:54:21;false
9;salmon;Credit Card Account Small matrix;Sierra Leone high-level Pa'anga;Senegal;../fake-data/blob/hipster.png;image/png;2020-05-24T20:22:34;true
10;Knoll Cambridgeshire Prairie;Chicken;Ergonomic extensible intranet;Checking Account relationships;../fake-data/blob/hipster.png;image/png;2020-05-24T09:27:14;false
